Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|CO2|Other,Mt CO2/yr,,41.9073,42.489,27.9426,22.4898,18.3001,17.087,16.4629,16.2738,17.0605,17.6209,17.8289,17.809,14.1946,13.5203,12.9052,12.5355,11.6149,10.9809,10.2781,9.6836
AIM/CGE 2.0,ADVANCE_INDC,World,Primary Energy|Biomass,EJ/yr,,46.1461,46.2075,46.5421,47.6266,49.9136,55.464,69.134,90.665,115.1402,138.4011,168.1463,201.9733,147.1389,163.2658,175.8606,184.6429,189.6462,196.036,202.341,207.559
AIM/CGE 2.0,ADVANCE_INDC,World,Temperature|Global Mean,°C,,0.9162,0.9755,0,1.2402,0,1.5052,0,1.7632,0,1.9793,0,2.1402,0,2.28,0,2.3955,0,2.4917,0,2.5666
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Emissions|CO2,Mt CO2/yr,,34018.8847,38170.9126,42083.0904,45938.1002,49234.5509,51371.473,53575.6167,55539.2823,57161.8241,57718.7628,58984.8131,60166.758,62130.0042,65473.9886,68620.7389,70407.2799,70842.7122,72168.6876,73351.5282,74030.337
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Emissions|CO2|AFOLU,Mt CO2/yr,,4591.2038,5635.1295,6146.6202,6230.0962,6087.412,5254.3274,4608.1898,4120.7364,3736.8308,3185.541,3374.419,3010.6197,2560.7322,2222.2353,1892.5725,1523.0023,1157.5918,935.8764,581.3401,361.6929
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,29342.4283,32446.1391,35841.5927,39607.8217,43042.1849,46008.025,48854.7207,51302.5096,53305.7736,54411.013,55485.2601,57028.0424,59438.262,63117.9255,66591.6629,68745.2124,69543.605,71088.9467,72624.0798,73520.4074
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Emissions|CO2|Other,Mt CO2/yr,,41.9073,42.4879,43.8701,45.2026,46.4519,47.5724,48.5117,49.3607,50.1969,50.9912,51.8033,52.647,53.4796,54.2879,55.052,55.7861,56.4993,57.195,57.8694,58.5159
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Primary Energy|Biomass,EJ/yr,,46.1461,46.1829,46.5387,47.5073,48.8491,50.7573,53.4809,57.4245,63.1972,69.7615,77.3645,85.8988,94.3954,102.0152,110.1894,117.5987,124.699,131.4286,139.1918,148.3016
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Temperature|Global Mean,°C,,0.9162,0.9755,0,1.2434,0,1.5315,0,1.8693,0,2.2226,0,2.5497,0,2.8797,0,3.2295,0,3.5876,0,3.9286
AIM/CGE 2.0,ADVANCE_Reference,World,Emissions|CO2,Mt CO2/yr,,34018.8847,38102.443,41394.1948,44425.6961,47262.6342,48703.8884,50351.2191,52139.6,53153.0947,53116.6667,54073.7324,54790.6309,55523.3155,57320.7627,60342.1787,63159.1417,65465.5048,66378.2212,66623.969,67605.3914
AIM/CGE 2.0,ADVANCE_Reference,World,Emissions|CO2|AFOLU,Mt CO2/yr,,4591.2038,5551.7882,5759.1844,5724.8647,5826.153,5217.2509,4917.6671,4699.8818,4198.8234,3648.231,3857.4377,3572.0163,2891.3908,2313.5978,1888.118,1488.3148,1157.6031,912.8597,604.1217,391.0654
AIM/CGE 2.0,ADVANCE_Reference,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,29342.4283,32460.9388,35560.1374,38631.537,41362.921,43409.4653,45353.3035,47356.6251,48868.4758,49380.0863,50125.4711,51125.2927,52536.1436,54909.0053,58353.647,61568.2723,64203.3174,65358.8636,65911.5815,67104.3694
AIM/CGE 2.0,ADVANCE_Reference,World,Emissions|CO2|Other,Mt CO2/yr,,41.9073,42.489,27.9426,22.4898,23.2605,23.9453,24.5319,25.0716,25.5943,26.0916,26.5879,27.0949,27.5944,28.0773,28.5327,28.9716,29.3972,29.8085,30.1979,30.5731
